Common name,Origin,First developed,Comment,Use
Dungay,England,1884,An excellent cooking apple. W 76 H 63. Stalk 25 mm. Use October - December.,Cooking
Dunning,US,1923,P Early McIntosh x Cox Orange. Flesh sweet. Pick early August.,Eating
"Dutch Codlin(syn. Chalmers Large, Glory of the West)",Netherlands ?,1783,One of the best kitchen apples. Greenish yellow with red flush. Stalk 25 mm and thick. Eye small and closed. Flesh white and sub -acid. Use August to September.,Cooking
Dutch Mignonne,Holland,1771,"Medium size round. Flesh, cream, crisp, juicy. Stem long. Use November - February",Eating Cooking.
Dyer(syn. Pomme Royale),?,,"A yellow apple with brown flush. W 72, H 60. Stalk 20 mm. Tree vigorous. Flesh yellow, crisp, tender, aromatic, subacid, aromatic, very good to best. Use September - October.",Eating
Dymock Red,England,,"A roundish or oblate red apple. H 41, W 54. Stalk very short. Pick late September.","Eating, Cider"
Egle,Lithuania,,,Eating
Eady´s Magnum,England,1908,"W 91, H 73. Stalk short. Flesh white, juicy, acid. Pick mid October. Use December - March.",Cooking
Early Chandler,US,1875,"Stalk short. Flesh yellow, tender, juicy, subacid. Too acid for eating. Use August.",Cooking.
"Early Harvest(syn. July Pippin, Yellow Harvest, Tart Bough)",US,1806,"W 58-85, H 39-70. Stalk 17–20 mm. Flesh white, crisp, tender, juicy, subacid, good to very good. Pick and Use July.",Eating
Early Joe,New York US,1843,"W 61, H 46. Stalk 20 mm. Flesh whitish, tender, juicy, vinous flavor, very good to best. Tree is a slow grower. Use mid August - mid September.",Eating
Early Julien,Scotland,1800,"An excellent culinary apple. The tree is not a large grower. H 48, W 60.",Cooking
Early McIntosh,US,Introduced 1923,P Yellow Transparent x McIntosh. Flavor excellent. Pick early August.,Eating
Early Nonpareil,England,1780,"W 57, H 45. Flesh crisp, aromatic, subacid.",Eating
"Early Pennock(syn. Shaker Yellow, Homony)",US,1800,"W 79, H 70,. Stalk 12 mm. Flesh yellow, avid. Quality poor. Use July - August.",Cooking
Early Ripe,Pennsylvania ? US,1867,"Stalk long. Flesh white, tender, juicy, subacid. Good. Tree productive.",Eating
Early Strawberry,New York US,1838,"W 58-63, H 49-52, Stalk 25–33 mm. Flesh white, tender, subacid, aromatic, very good. Use July - September.",Eating
Early Victoria,England,1899,Possibly from Lord Grosvenor × Keswick Cod. Also called Emmeth Early. Ripens in late July. Pale yellow fruit.,Eating
Easter Orange,England,1897,"Round conical, deep golden yellow with flush and stripes of dark brown red. Flesh firm, yellow, of good flavour. AM from RHS in 1897. H 63, W 66. Use February - April.",Eating
Ecklinville,Ireland,1820,"Large, round, greenish-yellow. H 63, W 78. An excellent early cooker. Pick September. Use September - October.",Cooking
Edelborsdorfer,Germany,1600,"A green apple with red flush and russet. W 70, H 63. Pick October. Use December–March.","Eating, Cooking"
Edelrother,,1856,"Yellow with red flush. W 65, H 61. Stalk 16 mm. Use November - January.",Eating
Edith Hopwood,England,1929,Yellow with russet. Stalk very long. Use October-November.,Eating
Edward VII,England,1908,"A large oblate-round apple with yellow-green skin and pinkish-brown blush. W 83, H 70. Stalk 6 mm. AM from RHS in 1903. Suitable for more northerly, cold, wet climates. White flesh is sharp and pleasant. Extraordinary keeper; apple ripens in autumn and will keep until Easter. P Possibly Blenheim Orange × Golden Noble. Pick mid October. Use December - April.",Cooking
Edwards,N.C. US,1870,"A greenish yellow apple, lightly striped with red. Flesh juicy, firm. One of the best keepers.",Eating
Edwin Beckett,England,1915,"Green to yellow with red flush. W 100, H 114.",Cooking
Egremont Russet agm,England,1872,"W 64 - 67, H 48-57. Stalk 6–10 mm. Brown russeting, nutty flavor. Excellent keeper. Resistant to scab, very prone to bitter pit. Pick late September. Use October - December.",Eating
Ein Shemer,Israel,1963,"P Zabidani × Golden Delicious. This variety ripens in June. Tastes tart, does not do well in cold weather. (Not the same as Anna (apple))",Eating
Elektra,Germany,,"W 68, H 58, We 95-100. Stalk 5 – 15 mm. Pick October. Use November - February.","Cooking, Eating"
Ellison's Orange,England,1911,"W 67, H 57. Stalk 15 – 35 mm. Cox's Orange Pippin × Cellini. FCC from RHS in 1917. Rich aniseed flavor. Pick mid September. Use September - October.",Eating
Elstar agm,Netherlands,1950,"Golden Delicious × Ingrid Marie. Medium-sized, mostly red with yellow showing. Often used in desserts due to its intense honey flavor.","Cooking, Eating"
Emneth Early,England,1899,"W 64, H 61. Stalk 23 mm. Suitable for northerly, cold, wet climates. P Hawthornden x Keswick Codlin. A biennial crop that needs thinning. AM from RHS in 1899. Good disease resistance. Pick Late July to early August. Use July - August.",Cooking
Empire,US,Introduced 1966,P McIntosh x unknown. Lovely white subacid flesh. Tangy taste. Ruby red color.,Eating
Empire Red,Canada,Introduced 1942,A red apple. P unknown.,"Cooking, Eating"
Empress,US,Introduced 1988,"A dark red apple, fair. P Jonamac x Vista Bella.",(Eating) Cooking
Encore,England,1906,"Large cooking apple. W 83-96, H 73-90. Stalk 10–15 mm. First Class Certificate from RHS in 1908. Pick mid October. Use December to April.",Cooking
Engelsberger,Germany,1854,A German cider apple. Sugar-acid ratio 10:1. Juice yield 70-75%. Pick late September - Early October.,cider
"English Codlin(syn. Common Codlin, Codlin, Quodlin)",England,1600,"Yellow with red flush and russet. W 82, H 64. Flesh, tender, white. acid, good. Stalk long. Use August - September.",Cooking
English Russet,?,1870,"W 69, H 62. Stalk 13 mm. Flesh yellowish-white, crisp, subacid. Good. Use January - May.",Eating
Enterprise,US,1993,Classic North American red apple. Stores well up to six months. Makes very good candy apple.,Eating
Envy,New Zealand,2009,"Sweet and crispy, takes 4–8 hours after cutting to start browning. Royal Gala × Braeburn.",Eating
Epicure,England,1909,"Yellowish apple with reddish blush. Good clean taste. Award of Merit from RHS in 1931. W 63, H 54. Stalk long. Needs thinning for size. Prone to bitter pit, canker. Pick mid August. Use August - September.",Eating
Erickson,US,Introduced 1923,A large green apple.,
Erwin Baur,Germany,1955,"W 68-80, H 57, We 105-212. Stalk 15 – 20 mm. Pick October. Use December - March.","Cooking, Eating"
Esopus Spitzenburg,US,1750,"Grown by Thomas Jefferson at Monticello. Named for creek near which first seedling found. Heirloom variety still available at farmstands in Northeast and portions of Virginia. Flesh yellow, firm, crisp, juicy, aromatic, subacid, very good to best. Difficult to grow for inexperienced planters. W 73-77, H 68-76. Stalk 19–24 mm. Use December - February.","Cooking, Eating"
Etter´s Gold,California US,Introduced 1944,Golden yellow. P unknown. Flesh crisp. Pick October.,
Eva,Brazil,,"A yellow apple red striped(70%). P Gala x Anna. Flesh sweet, subacid, good. Tree very productive.",Eating
Evagil,England,Introduced 1863,"A golden yellow apple. Stalk very short. Flesh pale yellow, hard, dry. Use September - October.","Cooking, Eating"
Evening Party,US,1860,"W 68, H 52. Stalk 14 mm. Flesh juicy, vinous, aromatic. Use December - January.",Eating
EverCrisp,US,2008,Described as Fuji x Honeycrisp,Eating
Ewalt,US,1850,"A large apple, yellow with red flush. W 75, H 63. Flesh acid, aromatic. Use February - April.",Eating
Exeter Cross,England,1924,"P Worcester Pearmain x Beauty of Bath. W 59, H 47. Stalk variable. Flesh crisp, juicy, sweet. Pick early August. Use August.",Eating
Exquisite (Laxton Exquisite),England,1902,"Award of Merit from RHS in 1926. W 70, H 67. Stalk short to medium. Flesh sweet, aromatic. P Cox Orange x Cellini. Pick late August. Use September - October.",Eating
Fagerö,Sweden,1860,"W 75-80, H 68. A red mutant of Grågylling. Use October - December.",Eating
Fallawater(syn. Tulpehocken),US,1842,"W 88, H 70. Stalk 8 mm. Flesh greenish white, crisp, juicy, mild subacid, good. Use November - December.",Eating
Fall Harvey,US,1838,"Flesh whitish, crisp, juicy, subacid, high flavor. Use October - December.",Eating
Fall Jenneting(syn. Fall Jeneting),US,1827,"Flesh yellow, crisp, tender, juicy, subacid. Tree strong grower. Use September - December.",Cooking
Fall Pippin,US,1806,"Large yellow, roundish to roundish oblate. W 99, H 86. Stalk 22 mm. Flesh whitish - yellow, firm, fine, tender, very juicy, subacid, aromatic, very good. Pick September, use September - December. AS s.","Eating, Cooking"
Fall Swaar(sy. Autumn Swaar),US,1800,"W 70, H 58. Stalk 13 mm. Flesh yellow, juicy, mild subacid. Use September.","Cooking, Eating"
"Fall Wine(syn. Ohio Wine, Musk Spice, Sweet Wine)",US,1800,"W 75, H 56. Stalk 23 mm. Flesh yellowish, juicy, aromatic, mild, subacid, sweet. Use September - November.",Eating
Falstaff,England,1966,A good pollinator.,Dessert
Fameuse,Canada,1730,"Small apple, very sweet, flavour similar to McIntosh. Flesh white, tender, juicy, subacid, perfumed, very good. W 60-72, H 53-56. Stalk 11–17 mm. Pick late September. Use October - November.Of no value in Britain.",Eating
Family,US,1860,"W 78, H 58. Stalk 20 mm. Flesh White, juicy, mild, pleasant, subacid. Use August - September.",Eating
Fanny,US,1869,"A bright red fruit of good dessert quality. W 63, H 50. Roundish slightly oblate. Tree vigorous. Flesh yellow, firm, fine, tender, juicy, mild subacid, good to very good. Use September - November.",Eating
Faurot,US,Introduced 1935,P Ben Davis x Jonathan. Tree disease resistant.,
Fearns Pippin,England,1780,"An excellent apple for eating and cooking. The tree is very hardy and a great bearer. W 64, H 53. Stalk medium. Picking late September - early October. In use from November to February.","Cooking, Eating"
Federal Pearmain(syn. Staaten Parmäne),England,1831,"W 70, H 57. Yellow red streaked. Flesh vinous.",Eating
Feltham Beauty,England,1908,"Yellowish-green with red stripes and flush. W 76, H 70. P Cox Orange x Gladstone. Flesh, crisp, sweet, very good. Use August - September.",Eating
Fenouillet Gris,France,1608,A dessert apple of great excellence. H 50 W 64. Short stalk. Picking time October. Use November - February.,Eating
Fink(syn. Fink´s Seedling),US,1847,"A small apple. Flesh whitish, juicy, subacid good to very good. Good keeping qualities (one year).",Eating
Flamenco,United Kingdom,1950,A columnar ornamental tree with delicious fruit,Eating
Fiesta agm,England,1972,"Sometimes called Red Pippin. Claims both UK and US heritage: P Cox's Orange x Idared. W 58, H 51. Stalk 22 – 30 mm. Has flavour similar to the former but storage, colouring, and cold tolerance of the latter. Can be susceptible to scab and canker.Pick mid September. Use October - January.",Eating
Filippa,Denmark,1893,"A yellow apple with some red overcolour. W 63, H 58. Pick September. Use September - December.","Cooking, Eating"
Fillbasket,England,1875,Name of two different apple cultivars. One from Lancashire and the other from Kent.,Cooking
Fireside,United States,Introduced 1943,"Very fragrant. Yellow with red striping. Sweet apple, very popular in upper Midwest. Use November - April.",Eating
Flake´s Fall,US,1869,"Yellow with red flush. W 95, H 73. Stalk 17 mm. Flesh juicy, subacid, aromatic. Use October - November.",Eating
Flame 1.,England,1925,"W 67, H 56. Yellow, striped scarlet. Flesh, sweet, aromatic, subacid.",Eating
Flame 2.,US,Introduced 1943,Crab apple. P unknown.,Ornamental
Flandrischer Rambour,?,1800,"A yellow apple with red flush. W 93, H 67. Stalk 13 mm. Use November - January.",?
Flickäpple,Sweden,1850,"A large cooking apple. Yellow with red stripes. H 55, W 80.",Cooking
Florina,France,,"(Querina), scab resistant",Eating
Flower of Kent,Kent or Lincolnshire England,1629,"A first-rate kitchen apple from October to January.W 89, H 70. Flesh crisp, subacid. This is the variety that inspired Sir Isaac Newton to consider gravity.",Cooking
Flushing Spitzenberg,US,1822,"Flesh white, yellow, juicy, crisp, mild, sweet, good. Use November - February.",Eating
Folwell,US,Introduced 1922,A large apple. P Malinda x unknown.,
Foote(syn. Foote´s Nonpareil),Mass. US,1875,"Flesh firm, juicy, aromatic, subacid, very good. Trre vigorous, annual bearer. Use November.",Eating
Forge,England,1851,"A yellow apple with red Flush. W 60, H 54. Stalk short. Flersh white, crisp, juicy, aromatic. Pick late September. Use October - November.",Eating
Fortune agm,England,1904,"Cox's Orange Pippin × Wealthy. First Class Certificate from RHS in 1948. W 68, H 60. Stalk 25 mm. Prone to canker, good resistance to scab. Tendency to be biennial. Pick early September. Use September - October.",Eating
"Foundling(syn. Shirley, Groton)",Mass. US,1820,"A medium to large apple. Flesh white, tender, juicy, subacid, aromatic, very good. Use September.",Eating
"Fourth of July(syn. Sibirian August, August Apple)",Germany,1875,"Flesh white, juicy, subacid, good. Stalk short. Tree a strong grower.","Cooking, Eating"
Fox Kernel(syn. Sack),England,,"Yellow with red stripes. H 70, W 70.",Cider
Foxley,England,1800,Very small. Stalk 25 mm. Raised by Thomas Andrew Knight.,Cider
Foxwhelp,England,1650,"Striped red and yellow. Flesh yellow with a rough acid flavour. W 63, H 63. Stalk 19 mm.",Cider
Fraas Sommer-Calvill,Germany,1850,"W 74, H 68. Stalk 15 mm. Use September - October.",Eating
Franklin,US,Introduced 1937,P McIntosh x Delicious.,Eating
Fred Hough,Brazil,Introduced 1994,"Small to medium, red striped. Very low acid content. P NJ 76 x Coop 14.",Eating
Freedom,US,1983,,
French Pippin,?,1850,"Flesh yellowish, tender, subacid, good. Tree vigorous. Use October - January.",Eating
Freyberg,New Zeeland,1934,"P Golden Delicius x Cox Orange. W 65, H 56. Stalk long. Flesh white, juicy, sweet, aromatic. Pick early October. Use October - December.",Eating
Freiherr von Trauttenberg,Germany,1850,"W 69-71, H 65-76. Stalk 10 mm. Use November - February.","Cooking, Eating"
Frieherr von Berlepsch,Germany,1880,54x63mm. One of the best eating apples. High in Vitamin C. Picking September. Use October–December.,Eating
Frogmore Profilic,England,1865,"A yellow apple with red flush. W 70, H 60. Stalk long. Flesh white, soft, juicy, acid. Pick late August. Use September - November.",Cooking
Frostproof,US,1930,P unknown. Quality fair. Tree blooms 30 days later than most apples usually do.,Eating
Frösåker,Sweden,1900,A yellow apple. W 58-63. H 45-50. Stalk 12mm. Pick October. Use November - January.,Eating
Fuji,Japan,1930,"P Red Delicious × Ralls Genet. Dark red, conic apple. Sweet, crisp, dense flesh is very mildly flavoured. Keeps very well. One of the most widely grown apple varieties in the world.",Eating
Fuji Frey,Brazil,Introduced 1995,Bud mutation of Fuji.,Eating
Fyan,US,Introduced 1935,"P Ben Davis x Jonathan. Ripens 2 weeks after Jonathan. Tree very vigorous, regular bearer, resistant to disease.",Eating
"Gala, Royal Gala",New Zealand,1970,"A small to medium-sized conic apple. W 61, H 58. Stalk 25 mm. Thin, tannic skin is yellow-green with a red blush overlaid with reddish-orange streaks. Flesh is yellowish-white, crisp and grainy with a mild flavour. Cross of three of the world's best known apples: Kidd's Orange Red (a cross of Red Delicious and Cox's Orange Pippin) × Golden Delicious. One of the most widely available commercial fruit. Pick early October. Use October - January.",Eating
Galbraith Baldwin,US,Introduced 1948,Mutation of Baldwin. Highly colored.,Eating
Galícia,Brazil,1987,"P Gala x Anna. Flesh crisp, juicy. Tree very productive.",Eating
Galloway,Scotland,1871,"Large eating and cooking apple. First Class Certificate from RHS in 1871. W 90, H 71. Stalk short. Pick late September. Use November–February.","Eating, Cooking"
Ganges,England,,A green kitchen apple. Use October - February.,Cooking
Garden Royal,US,1847,"A medium-sized roundish-oblate, sometimes slightly conical apple. W 70, H 57. Stalk 22 mm. Greenish-yellow skin is striped and splashed with bright red, dull or grayish toward the stem; dots few, light and gray; cavity deep, basin shallow, slightly uneven. Flesh yellow, very tender, juicy, rich, mildly subacid and aromatic. Poor keeper. Upright habit, productive bearer, some biennial tendency. Use late August - September.",Eating
Garden Sweet,US,1875,"Stalk short and small. Flesh, yellowish white, tender, juicy, sweet. Tree hardy and productive. Use September - October",Cooking
Garretson´s Early(syn. Somerset Harvest),US,1840,"Medium size. Stalk short. Flesh white, tender, juicy, subacid, good. Use July - August","Cooking, Eating"
Gascoyne's Scarlet,England,1871,"Large red fruit. W 77, H 63, We 145. Stalk 15 – 25 mm. FCC from RHS in 1887. Pick mid September. Use October - December.","Eating, Cooking"
Geheimrat Dr. Oldenburg,Germany,1897,Created at the Höheren Lehranstalt für Obstbau of Geisenheim in the Rheingau; Minister von Hammerstein × Baumanns Renette.,Eating
Gehrers Rambour,Germany,1885,A german cider apple. Sugar-acid-ratio 8:1. Juice yield 75-80%. Pick late October.,cider
Gelber Richard,Germany,1830,"A yellow apple. W 66, H 66. Stalk 10 mm. Pick October. Use November - March.",Eating
Georg Carpenter,England,1902,"P Blenheim Orange x King of the Pippins. W 74, H 66. Stalk long. Flkesh white, juicy, sweet, aromatic. Pick mid September. Use October - December.",Eating
George Cave,England,1923,"Pale green-yellow fruit with red flush. Early harvest. W 57, H 51. Stalk 15 – 20 mm. Pick August. Use August.",Eating
George Neal,England,1904,"Pale green to yellow colour, will keep nicely until late autumn. Award of Merit from RHS in 1923. W 82, H 63. Stalk 10 – 20 mm. Good regular crops. Pick late August - early September. Use August - September.",Cooking
Gestreifter Herbst-Calvill,,1670,"Gelb with red flush. W 67, H 69,. Stalk 12 mm. Use November - January","Cooking, Eating"
Gestreifter Winter-Calvill,Germany,1840,"Yellow with red stripes. W 70, H 60. Pick October. Use November - February.","Eating, Cooking"
Gideon,US,1880,"Tree vigorous. Flesh yellow, soft, coarse, crisp, juicy, subacid, fair to good. Use October.",Eating
"Gilpin(syn. Carthouse, Little Red Romanite.",US,1850,"W 80, H 70. Stalk 17 mm. Flesh greenish-yellow, sweet, juicy. Pick October. Use December - May.","Cider, Eating"
Gipsy King,England,1872,"A handsome dessert apple. W 64, H 45. Stalk 12 mm. Use October - December.",Eating
Gladstone,England,1780,"W 63, H 54. Stalk 9–16 mm. A red apple. Pick late July - early August. Use July - August.",Eating
Glanz Reinette,Germany ?,1850,"A green apple with red stripes. W 58, H 50-53. Stalk 14 mm. Pick October.",Eating
Glockenapfel,Switzerland,,"A medium-sized green-yellow elongate bell-shaped apple, sometimes takes on a reddish blush. Tart and juicy, stores well, taste improves with age. Excellent culinary variety; renowned for its use in Strudel.","Cooking, Eating"
Gloria Mundi(syn. Pound),US,1804,"An excellent green culinary apple. W 89, H 76. Stalk short. Flesh yellow, coarse, crisp, tender, juicy, mild subacid, fair to good. Pick mid October. Use October - December.",Cooking
Glorie van Holland,Netherlands,1890,"Flesh slightly acidic, slightly sweet.",Eating
Glory of the Westsyn. Englischer Prahlrambour),England,1800,"A culinary apple of first quality. W 82, H 72. Pick October. Use October - December).",Cooking
Gloster (aka Gloster 69),Germany,1969,"Conical shape. Somewhat tart, ruby red color like parent Red Delicious. Good choice for backyard gardening. W 70, H 67. Stalk long. Pick late October. Use November -March.",Eating
Ginger Gold,US,1960,"Tangy flavour, crunchy texture, pale green-yellow colour. Noted for being an extremely early bearer (Europe by September 1, California late July, Eastern US in August).","Cooking, Eating"
Godfrey,Canada,Introduced 1931,"P Patten Greening x unknown. A dark red apple. Flesh white, crisp, sweet. Tree vigorous. Use October - February.",
Gogar Pippin(syn. Stone Pippin),Scotland,1850,A dessert apple of second rate quality. Use January - March.,Eating
Golden Ball,Conn. US,1880,"A large apple. Flesh crisp, tender, subacid. Use December - March.",Eating
Golden Delicious,US,1914,"One of the most popular varieties in the world. Due to its regular size, even colour and storage qualities the fruit is widely sold commercially. Uniform light green-yellow coloration. Flesh firm, crisp, tender, juicy, mild subacid, aromatic, very good to best. A good pollinator. W 63-72, H 58-62, We 145. Stalk 20 – 30 mm. Pick October. Use October - May.","Eating, Cooking"
Golden Harvey(syn. Brandy Apple),England,1821,"A yellow apple with russet H 52, W 49. One of the richest and most excellent dessert apples, it is also one of the best for cider. Use December - May.","Eating, Cider"
"Golden Knob(syn. Old Lady, Old Maid)",England,1850,"Orange-brown with russet. A good late keeping dessert apple. Flesh firm, subacid, good. Leaf large, very dark. H 35, W 42. Use December - March. The tree is a strong grower.",Eating
Golden Monday,England,1850,"A kitchen apple. Flesh sugary, briskly flavoured. Use October - December.",Cooking
Golden Noble agm,England,1820,"Tree is short and stocky. Produces mint green fruit with blush of pink. W 60-90 , H 50-80, We 150-250. Stalk 5-15mm. Good disease resistance. Pick early October. Use October - January.",Eating
Golden Nonpareil,England,1850,"A first rate dessert apple. Flesh juicy, sugary with a rich flavour. Use December - February.",Eating
Golden Orange,Italy,1979,"PRI 1956-6 × Ed Gould Golden. Resistant to scab. Moderate vigour, spreading habit and medium-late blooming season; fruit is moderately large (207 g) and symmetric, skin is smooth, no russeting. Ripens some days after Golden Delicious; fruit is very attractive; large, good storage ability.",Eating
Golden Reinette see Orleans Reinette,,,,
Golden Russet,New York,1845,"A medium-sized heavily russeted light green apple, occasionally with a reddish blush. W 73, H 72. Stalk 12 mm Crisp, fine-grained flesh is rich, sugary and very sweet. Excellent dessert apple, keeps very well. Makes extraordinary cider, known as the ""Champagne of cider apples."" Use December - April.","Cider, Cooking, Eating"
Golden Spire,England,1850,"A golden yellow apple. An old Northern English variety. Flesh pale yellow, juicy, soft. P Keswick Codlin x Manks Codlin. W 64, H 82 Unusually tall and oblong with a tart flavour.","Cooking (Cider, Eating)"
Golden Supreme,US,1960,,Eating
Golden Sweet,US,1832,"W 76-79, H 59-63. Stalk 23–30 mm. A yellow apple. Fleshyellow, firm, tender, juicy, very sweet, aromatic, good to very good. BB. Use August - September.",Eating
Goldrush,US,1980,"The fruit has a complex spicy flavor with high acidity and sweetness. Acidity moderates in cold storage, with exceptional quality after 2 to 3 months.",Eating
Goldspur,US,1960,A sport of 'Golden Delicious'.,Eating
Goodwood Pippin,England,1896,"Yellow striked with red. Round to conical. The stalk is set in a narrow, rather deep russety cavity. W 82, H 82. AM from RHS in 1896.",Cooking
Goosebery Pippin(Ronalds´),England,1875,"A very excellent dessert apple; ripe in November. Small fruit, small tree.",Eating
Gordon,United States,1977,"A low chill hour cultivar developed by Robert B. Gordon in Whittier, CA from unknown parentage. Blooms over long period in Southern CA - from April to Early June. Bears mature fruit from August to October. Fruit is green with red striped overcolor. Ripe at approximately 50% red coverage. Fruit is dual purpose, for eating and baking with sweet-tart flavor.",Eating & Cooking
Gradirose,France,2004,Created by Pépinières Grard. Early dessert apple with pink blush. Ripens in September and stores well. Very productive.,Eating
Gragg (aka Red Gragg or Winter Queen),US,1860,"Originated on the farm of James Gragg in Caldwell County, NC about 1860. Valued by North Carolina growers for its fine cooking qualities, crispness and long storage ability. The conical shaped fruit is red in colour with moderately conspicuous dots. Ripens in October and is a great keeper.","Cooking, Eating"
Grågylling,Europe,1800,"W 64-68, H 54-60. Stalk 12 – 20 mm. Flesh juicy, subacid, fair to good. Pick early October. Use November - January.","Eating, Cooking"
Granges Pearmain,England,1829,"Rather large, round, a little flattened. Colour yellow with dull red flush and broken stripes. Flesh pale yellow, very crisp and juicy and excellent flavour. Use December–May.","Cooking, Eating"
Granny Smith,Australia,1868,"This is the apple once used to represent Apple Records. W 64, H 61. Stalk 17–25 mm. A favourite variety, widely sold in the UK. Also noted as common pie apple. Lime green colouring. Extremely tart.Pick mid October. Use January - April.","Cooking, Eating"
Grantonian,England,1883,"Yellowish-green with brown flush. W 76, H 64. Flesh firm, subacid. FCC from RHS in 1883. Use till March.",Cooking
Graue Herbst Reinette,,1800,"W 84-95, H 64-72. Stalk 14 mm. Use November - December.","Cooking, Eating"
Graue Portugiesische Reinette,Portugal,1798,"W 65 - 69, H 46-50. Stalk 14 mm. Use December - April.","Cooking, Eating"
Grauer Kurzstiel,France,1794,"W 69, H 52. Stalk 8 mm. Use December - April.","Cooking, Eating"
Gravenstein,Denmark,1800,"An early yellow-green apple, often with red stripes. W 73-90, H 61-70. We 130. Stalk 10 – 25 mm. Tree large, vigorous. Flesh yellow, firm, fine, crisp, juicy, aromatic, subacid, very good to best. Exceptional cooking apple, especially for applesauce and pies. Poor keeper; becomes soft quickly. German immigrants introduced this variety to California's San Joaquin Valley in the mid-19th century. Has many sports. Pick late August. Use September - December.","Cooking, Eating, Pie"
Green Cheese,US,1750,"A very old southern apple thought to have originated in North Carolina or Georgia but its true origin is uncertain. The fruit is oblate to oblique in shape. W 76, H 55. The skin is deep green in colour, turning pale yellow when fully ripe. The yellowish flesh is sweet, crisp, tender and juicy.",Eating
Greendale,US,Introduced 1938,P McIntosh x Lodi. A green apple.,"Eating, Cooking"
Green Newtown see Newtown Pippin,,,,
Green Seek No Further,L.I. US,1855,"Flesh white, crisp, tender, juicy, subacid, very good. Stalk short. Tree slow in growth. Use October - January.",Eating
Greensleeves agm,England,1966,"Golden Delicious × James Grieve; good garden apple, with a pleasant but unexceptional flavour. W 64-67, H 57-60. Stalk 20–22 mm. Likely named for famous Renaissance era song. Can be susceptible to scab. Pick late September. Use September - November.",Eating
"Greenup´s Pippin (syn. Yorkshire Beauty, Greenup´s Apfel)",England,1800,"A first rate early culinary apple. Flesh tender, juicy, and with an agreeable acidity. W 60-77, H 46-74. . Use October - December.","Eating, Cooking"
Grenadier agm,England,1862,"Possibly one of the strangest of all British apples: it is ribbed and lumpy with a tough coat, looking as though it has taken a beating. W 83, H 63. Stalk 10–12 mm. Grenadier cooks down to cream-coloured puree with a superb apple flavour. Makes an excellent apple jam. Poor keeper. Reliably heavy annual bearer. First Class Certificate from RHS in 1883. Good disease resistance. Pick mid August. Use August - October.",Cooking
Grimes Golden(syn. Grimes Golden Pippin),US,1804,"A medium-sized roundish to slightly oblong apple. W 74, H 63. Stalk 23 mm. Greenish-yellow skin, ripening to a clear yellow, stem cavity sometimes russeted, covered with yellow or russet dots. The yellowish-white flesh is crisp and tender, with a rich, spicy, sugary-sweet flavour. A good all-purpose dessert and cooking apple, Grimes also makes a strong single-variety cider. Excellent keeper. Grimes Golden is the parent of the ubiquitous Golden Delicious. Relatively rare among apples, Grimes Golden is self-fertile. Original tree discovered near a known orchard of John Chapman (Johnny Appleseed). Use December - March.","Cider, Cooking, Eating"
Grosh,Pa. US,1855,"Flesh white, loose, soft, juicy,aromatic, subacid, good to very good. Tree vigorous, an annual bearer. Use September - January.",Cooking
Grove,US,Introduced 1935,"P Ingram x Delicious. Tree blooms late, resistant to scab.",
Guelph,England,1912,Medium to large sized apple for use in October to December. First Class Certificate from RHS in 1913.,Eating
Gunilla Bohuslän,Sweden,1900,"W 98, H 98. Stalk 21 mm. Use October - March.","Eating, Cooking"
Haas(syn. Fall Queen),US,1875,"Fruit oblate-conic, ribbed, yellow with red flush. Tree large, vigorous. Stalk short. Flesh white, juicy, aromatic, subacid, poor. Use October - November.",
Hagloe,US,1817,"Stalk short. Tree healthy, vigorous, productive. Flesh whitish, juicy, acid. Use August.",Cooking
Halberstädter Jungfernapfel,Germany,1885,"W 80, H 74-80. Stalk 12 mm. Flesh juicy, sweet, very good.",Cooking
Hambledon Deux Ans,England,1750,"A yellow apple with red flush. W 78, H 64-67. Stalk 10–15 mm. Flesh white-yellow, dry, sweet, subacid, aromatic. Prone to bitter pit. Pick late September. Use November - April.",Eating
Hammerstein(syn. Minister von Hammerstein),Germany,1895,"W 60 - 85, H 50 - 65, We 100-180. Stalk 15 – 25 mm. Pick October. Use January - April.","Cooking, Eating"
Hampus,Holland or Sweden,1820,"W 66-70, H 47-50 . Stalk 19– 26 mm. Flesh juicy, sweet. Pick late August - early September.",Eating
Hanaskogsäpple,Sweden,1873,"A yellow apple. W 61, H 54. Pick September. Use September.",Eating
Haralson,US,Introduced 1923,"P Malinda x unknown. Red colour and large, moderately conspicuous dots. Crisp and juicy with a tart flavour. Excellent choice for pies.","Cooking, Eating"
Harberts Renette(syn. Harbert),Germany,1820,"Yellow with red flush. W 87, H 78. Stalk 15–20 mm. Pick October. Use December - January.","Eating, Cooking"
Harrison (syn.Harrison Cider),US,1770,"Yellow skin, sometimes red-blush, black spots, small size, sweet, rich and dry.",Cider
Harvey,England,1629,"A green apple. W 76-93, H 68-81. Stalk 12 – 18 mm. Flesh white-yellow, dry, sweet. Pick mid September. Use September - January.",Cooking
Hatsuaki,Japan,Introduced 1976,"P Jonathan x Golden Delicious. Flesh juicy, sweet, good.",Eating
Hauxapfel,Germany,1925,A German cider apple. Sugar-acid-ratio 9:1. Pick late October.,Cider
Havelgold,Germany,,Cooking,
Hawaii,,1945,Noted for pineapple-like taste.,Eating
